epoch;evaluation_0;error_0;evaluation_1;error_1;evaluation_2;error_2;;avg eval;avg error
181;43,68;0,772854756;30,21;1,233144744;11,33;2,276359619;;28,40666667;1,14228708
182;44,17;0,957024358;30,38;1,217315263;11,33;1,809924812;;28,62666667;1,150828235
183;44,66;1,018075174;30,54;1,056376509;11,33;1,467924681;;28,84333333;1,204506522
184;44,33;1,025066623;31,03;1,104238544;11,33;2,036893517;;28,89666667;1,20285414
185;44,5;1,144588845;31,36;1,025179411;11,33;1,331387025;;29,06333333;1,225559588
186;44,5;0,879448565;31,36;0,874975245;11,33;1,72531742;;29,06333333;1,194610313
187;44,83;1,11053907;31,53;1,195481435;11,33;1,734796357;;29,23;1,086198195
188;44,83;1,176243509;31,86;1,154195055;11,33;1,275128647;;29,34;1,239905354
189;44,83;1,144062753;31,69;0,88569708;11,33;2,082761349;;29,28333333;1,132472313
190;44,5;0,909430235;32,02;1,162922883;11,33;2,12020728;;29,28333333;1,161525014
191;44,66;0,611326859;31,86;1,008347402;11,33;1,887870662;;29,28333333;1,338021017
192;44,66;0,70808677;32,68;1,16883882;11,33;1,735085574;;29,55666667;1,263780365
193;44,83;0,966896225;32,51;1,298859474;11,33;2,058147549;;29,55666667;1,115185241
194;44,66;0,973578552;32,68;1,241538953;11,33;1,674004876;;29,55666667;1,236750111
195;44,66;0,935537082;32,68;0,890491888;11,33;1,892618754;;29,55666667;1,040773975
196;44,66;0,665807939;32,84;1,042413796;11,33;1,905809166;;29,61;1,265062226
197;44,83;1,085843452;32,51;1,166759473;11,33;1,525908577;;29,55666667;1,160904541
198;44,99;1,102392869;32,35;1,026525218;11,33;1,649483395;;29,55666667;1,28554581
199;45,32;0,950370337;32,68;0,965027261;11,33;2,141458134;;29,77666667;1,020849401
200;46,14;0,903523547;32,51;1,085158072;11,33;1,869203025;;29,99333333;0,94196895
