epoch;Sigmoid;error_0;Tanh;error_0
308;93,1;0,523624022;91,3;1,353647035
309;92,94;0,657888212;90,8;1,475194302
310;92,94;0,658163707;91,79;1,428093565
311;93,27;0,567019395;91,13;1,328472433
312;92,61;0,890707882;91,13;1,28726275
313;92,78;0,450053533;91,3;1,430208129
314;92,94;0,493502004;89,98;1,31363244
315;92,78;0,802683085;91,46;1,367493701
316;92,61;0,47284746;91,63;1,446761908
317;92,61;0,411299971;91,79;1,180047513
318;92,78;0,784605059;91,13;1,47748305
319;93,1;0,716178406;92,12;1,351975527
320;93,1;0,537186814;91,63;1,307231211
321;92,94;0,489786394;91,79;1,199263804
322;92,94;0,454248695;91,79;1,287183237
323;92,94;0,534226884;91,13;1,262998753
324;93,1;0,662566934;89,98;1,48154653
325;93,27;0,690466145;91,13;1,686897573
326;93,27;0,445770851;91,63;1,305732881
327;93,27;0,639480554;92,61;1,398233406
328;93,43;0,502490185;93,27;1,395632424
329;93,43;0,441204381;93,6;1,458488685
330;93,1;0,630765018;92,78;1,427637167
331;93,27;0,415691664;92,12;1,344598712
332;93,27;0,415321661;93,6;1,357105511
333;93,43;0,434091114;93,1;1,227886623
334;93,27;0,569611459;93,1;1,294654611
335;93,27;0,542567747;93,27;1,691507887
336;93,1;0,745563513;94,09;1,438250138
337;92,94;0,496743379;91,95;1,618404455
338;92,94;0,591527124;93,1;1,713892944
339;92,94;0,441791878;93,43;1,467031979
340;93,27;0,53118367;93,6;1,304791038
341;93,27;0,543675565;93,76;1,297393582
342;93,27;0,657391443;93,43;1,040413472
343;93,1;0,690363205;93,1;1,39254011
344;93,43;0,594061169;92,94;1,34367802
345;93,6;0,505740943;94,09;1,413204375
346;93,43;0,488755396;93,27;1,302240069
347;93,6;0,595747389;92,61;1,450864801
348;93,6;0,456646958;93,1;1,158722601
349;93,43;0,540498748;92,12;1,257999804
350;93,27;0,546228624;93,43;1,448001864
351;93,27;0,403846161;92,12;1,540801841
352;93,27;0,547672405;93,76;1,329062476
353;93,43;0,577934818;93,92;1,633158925
354;93,43;0,621288841;94,42;1,262261708
355;93,27;0,37692901;91,46;1,380642219
356;93,27;0,356377603;90,97;1,400711437
357;93,27;0,730726831;93,43;1,559534257
358;92,94;0,578733361;92,78;1,252522017
359;92,94;0,647521975;93,6;1,385537891
360;93,1;0,464493582;94,09;1,352022086
361;93,27;0,495382541;94,91;1,075120536
362;93,1;0,884680586;93,43;1,264229731
363;92,94;0,512553312;93,27;1,49121082
364;92,61;0,417630706;93,92;1,179567848
365;92,61;0,372647452;93,76;1,332297663
366;93,1;0,543389255;94,09;1,421140428
367;92,94;0,753872436;92,78;1,31870306
368;92,94;0,385219853;93,1;1,39229082
369;93,1;0,440478814;92,61;1,309850283
370;93,1;0,553693968;92,78;1,328165329
371;93,27;0,50892087;92,61;1,423078183
372;93,1;0,426851164;92,28;1,242142237
373;93,76;0,640513108;93,92;1,457547881
374;93,6;0,686455604;94,75;1,531874863
375;93,76;0,632113713;92,45;1,390331928
376;93,76;0,403072491;91,95;1,363790985
377;93,43;0,448042335;91,46;1,445970277
378;93,76;0,628331245;94,58;1,326334955
379;93,76;0,496335937;92,28;1,265301217
380;93,6;0,569559678;94,09;1,14448396
381;93,6;0,524561257;95,73;1,590636425
382;93,6;0,494850247;93,92;1,463841045
383;93,6;0,66769496;93,1;1,250346704
384;93,6;0,541170441;93,43;1,570928853
385;93,6;0,657176919;95,24;1,643784079
386;93,6;0,316596763;94,91;1,417654384
387;93,92;0,700240839;94,75;1,268212912
388;93,92;0,60913667;94,42;1,453382358
389;93,92;0,486233497;95,57;1,328615415
390;94,09;0,44670378;93,92;1,21038388
391;93,92;0,854995591;93,92;1,161765692
392;94,09;0,642325458;95,07;1,424794058
393;94,42;0,505040071;92,78;1,004288552
394;93,92;0,507299101;94,58;1,505409969
395;94,09;0,589132022;95,4;1,238932484
396;93,76;0,419007981;96,06;1,265561152
397;94,09;0,625856437;94,91;1,174181412
398;94,09;0,399669715;95,24;1,37535408
399;94,09;0,562471259;95,07;1,389571188
400;94,09;0,450544426;95,73;1,384721683
